,wordcount
6.…,1
6/18,1
60,2
60-65…,1
60-75%,1
600,40
600लोग,1
60₹×10,2
61.60,1
65,2
65-70,2
66,7
68500,30
7,65
7.57बजे,1
7/5,1
70,33
70/-,4
700,4
70सालके,1
70…,3
72,1
73,2
742वोट,1
75,2
77.83.,1
78.89,1
8,5
80,1
800,1
82,2
"82,87",1
840-600,2
840₹,2
84₹,2
85,9
8882498498,1
8peson,1
8pm,1
8…,1
9,51
90%,5
90-10…,2
90दिनों,2
95%,1
972,2
99,1
9km,1
:,3753
:We,1
=,14
=240₹,2
=600₹,2
?,63
?!!!!…,1
??,39
???,1
????,2
??He,1
??…,1
??😂😂😂😹😹,1
?…,5
@,9
@…,55
A,15
AA,1
AAP,2
ACR's,1
ACT,1
"ACT,ARREST",2
ACTION,8
ALL,1
ANCHORS,2
AND,2
ANIMA…,10
ANMOL,1
ANSAL,1
ANTISOCIAL,2
API,1
ARE,1
ARREST,16
ARREST…,1
ASI,1
AT,2
Aa,1
Aaaj,1
Aadaa,1
Aage,1
Aam,1
Aanand,1
Aap,5
Aapke,1
Aapko,1
Aaya.,1
Ab,4
Abhi,1
Abhiyan.,1
"Absolutely,",1
Acche,3
Achcha,1
Act,1
Aditi,27
Aehmadabad,1
After,1
Afterwards.Since,1
After…,1
Again,1
Agla,1
Agni,1
Agr,3
Air,3
Aisa,3
Aise,2
Aj,1
Ajwani,1
All,56
Allah,1
Alto,1
Amit,4
Analysis,5
And,3
Anne,1
Another,1
Any,1
Ap,2
Apka,1
Apna,1
Apne,1
Arabia,1
Arabic.,1
Aradh…,1
Are,5
Arnab,1
Article,1
Arunachal,33
As,5
Asaram,14
Asia,3
Ask,3
At,2
Audit,1
August,2
Aur,3
Aviation,3
Awasthi,1
Awesome,2
Awesome.,1
B-बहुत,1
B.,1
B.Ed,1
B.Ed.,8
BAAT,1
BBC,1
BENGAL,1
BILINGUAL,2
BJP,58
BJP!,13
BJP-RSS,1
BJP.…,1
BJ…,1
BOY,1
BSA,3
BSNL,7
BSNL…,1
"BTW,",1
BUS,1
BY,20
Baat',2
"Baat,",1
Baat’,31
Badhi,1
Badhiya,1
Bahut,1
Baki,1
Banda,2
Bane,2
Bankers,1
Bapu,14
Bapuji,34
"Bar,",1
Barking,1
Bash,1
Basics,1
Bcuz,1
Beautiful,4
Being,1
Bengal,2
"Bengal,",1
Besides,1
Bhadda,1
Bhagat…,1
Bhagwan,1
Bhai,3
Bhai....,1
Bhakti,2
Bhakto,1
Bhakton,1
Bhandar-Gondia,1
Bharat,2
Bhi,2
Bhi.,1
Bhigo,1
"Bhookna,",1
Bhrasht,1
Bhugtane,1
Big,1
Bihar,2
Birthday,4
Bjp,5
Bollywood,2
Bomjir-Paglam,1
Both,1
Bottomlin…,7
Boyc…,4
Brazenly,1
Breaking,8
Brother,2
Buildings,2
Burka,2
Burke.,1
Burnol,1
Burnol😁😁,1
But,18
By,2
Bypolls,1
B…,4
CC,29
CD,2
CEC,14
CEO,3
CHAIRMAN.,3
CHANNEL?,2
CHEATER,1
CID,1
CM,35
CNG,1
CNN,1
